program,dfs,bfs,random-path,nurs_covnew,nurs_md2u,nurs_qc,default,best_searcher,coverage_gap
train_00078,965,1008,1008,1008,1008,1008,1008,bfs/default/nurs_covnew/nurs_md2u/nurs_qc/random-path,43
train_00088,956,1003,1035,1023,1023,1023,1027,random-path,79
train_00097,1000,1051,1053,1058,1058,1058,1058,default/nurs_covnew/nurs_md2u/nurs_qc,58
train_00098,947,1034,1034,1034,1034,1034,1034,bfs/default/nurs_covnew/nurs_md2u/nurs_qc/random-path,87
train_00292,1000,1024,1024,1024,1024,1024,1024,bfs/default/nurs_covnew/nurs_md2u/nurs_qc/random-path,24
train_00408,1011,1038,1031,1023,1023,1014,1031,bfs,27
train_00495,1108,1108,1108,1094,1094,1066,1108,bfs/default/dfs/random-path,42
train_00497,993,997,997,997,997,997,997,bfs/default/nurs_covnew/nurs_md2u/nurs_qc/random-path,4
train_00498,1064,1068,1068,1006,1006,1006,1010,bfs/random-path,62
train_00550,1572,1572,1572,1529,1529,1529,1572,bfs/default/dfs/random-path,43
train_00598,1038,1042,1042,1042,1042,1042,1042,bfs/default/nurs_covnew/nurs_md2u/nurs_qc/random-path,4
train_00624,997,1001,1001,1001,1001,1001,1001,bfs/default/nurs_covnew/nurs_md2u/nurs_qc/random-path,4
train_00727,1042,1049,1010,1010,1010,1010,1010,bfs,39
train_00914,939,945,945,945,945,945,945,bfs/default/nurs_covnew/nurs_md2u/nurs_qc/random-path,6
train_00919,1052,1054,1059,1055,1055,1054,1059,default/random-path,7
train_01033,950,993,993,993,993,993,993,bfs/default/nurs_covnew/nurs_md2u/nurs_qc/random-path,43
train_01040,1077,1077,1077,1074,1074,1060,1077,bfs/default/dfs/random-path,17
train_01124,1042,1044,1044,1044,1044,1044,1044,bfs/default/nurs_covnew/nurs_md2u/nurs_qc/random-path,2
train_01129,1005,1027,1027,1027,1027,1027,1027,bfs/default/nurs_covnew/nurs_md2u/nurs_qc/random-path,22
train_01143,946,990,990,990,990,990,990,bfs/default/nurs_covnew/nurs_md2u/nurs_qc/random-path,44
train_01176,987,1011,1011,1011,1011,1011,1011,bfs/default/nurs_covnew/nurs_md2u/nurs_qc/random-path,24
train_01250,1042,1046,1081,1037,1037,1047,1072,random-path,44
train_01385,1001,957,1001,1001,1001,1001,1001,default/dfs/nurs_covnew/nurs_md2u/nurs_qc/random-path,44
train_01444,1069,1073,1073,1073,1073,1073,1073,bfs/default/nurs_covnew/nurs_md2u/nurs_qc/random-path,4
train_01449,966,1013,1013,1013,1013,1013,1013,bfs/default/nurs_covnew/nurs_md2u/nurs_qc/random-path,47
train_01552,935,989,989,989,989,989,989,bfs/default/nurs_covnew/nurs_md2u/nurs_qc/random-path,54
train_01669,983,993,993,993,993,993,993,bfs/default/nurs_covnew/nurs_md2u/nurs_qc/random-path,10
train_01758,933,980,1021,1021,1021,1021,1021,default/nurs_covnew/nurs_md2u/nurs_qc/random-path,88
train_01801,1260,1251,1267,1179,1179,1196,1252,random-path,88
train_01955,1019,1041,1062,1030,1030,1030,1062,default/random-path,43
train_01959,959,951,966,966,966,966,966,default/nurs_covnew/nurs_md2u/nurs_qc/random-path,15
train_02069,1000,1071,1180,1180,1180,1180,1180,default/nurs_covnew/nurs_md2u/nurs_qc/random-path,180
train_02321,1005,1033,1033,1033,1033,1033,1033,bfs/default/nurs_covnew/nurs_md2u/nurs_qc/random-path,28
train_02373,985,987,987,987,987,987,987,bfs/default/nurs_covnew/nurs_md2u/nurs_qc/random-path,2
train_02427,1022,1034,1034,1034,1034,1034,1034,bfs/default/nurs_covnew/nurs_md2u/nurs_qc/random-path,12
train_02481,990,991,991,991,991,991,991,bfs/default/nurs_covnew/nurs_md2u/nurs_qc/random-path,1
train_02579,1244,1195,1195,1155,1161,1160,1195,dfs,89
train_02688,1061,1061,1061,1050,1050,1040,1061,bfs/default/dfs/random-path,21
train_02690,1004,1019,1020,1023,1023,1023,1023,default/nurs_covnew/nurs_md2u/nurs_qc,19
train_02787,1063,1165,1165,1165,1165,1165,1165,bfs/default/nurs_covnew/nurs_md2u/nurs_qc/random-path,102
train_02788,1008,1072,1072,1072,1072,1072,1072,bfs/default/nurs_covnew/nurs_md2u/nurs_qc/random-path,64
train_02891,1032,1015,1032,1004,1004,1011,1011,dfs/random-path,28
train_02892,1051,1157,1250,1045,1044,1044,1099,random-path,206
train_02901,1009,1046,1046,1046,1046,1046,1046,bfs/default/nurs_covnew/nurs_md2u/nurs_qc/random-path,37
