program,searcher,CovI,States,Queries,SolverTime_us,WallTime_s,CompletedPaths,NumBranches
train_00077,bfs,978,2,6935,6009,40541.0,0,116
train_00077,default,978,2,6935,6373,42570.0,0,116
train_00077,dfs,978,2,6935,6066,40787.0,0,116
train_00077,nurs_covnew,978,2,6935,6372,42272.0,0,116
train_00077,nurs_md2u,978,2,6935,5910,42506.0,0,116
train_00077,nurs_qc,978,2,6935,7382,43487.0,0,116
train_00077,random-path,978,2,6935,5942,40631.0,0,116
train_00078,bfs,1008,13,6394457,967641,10025049.0,0,117
train_00078,default,1008,17,5205403,916929,10026834.0,0,117
train_00078,dfs,965,17,6193732,1257031,10027480.0,0,117
train_00078,nurs_covnew,1008,17,5403283,991677,10026549.0,0,117
train_00078,nurs_md2u,1008,17,5421446,988987,10027248.0,0,117
train_00078,nurs_qc,1008,17,5413295,1013618,10026974.0,0,117
train_00078,random-path,1008,17,5540268,922288,10025937.0,0,117
train_00080,bfs,984,1,6938,2,39944.0,0,120
train_00080,default,984,1,6938,2,41653.0,0,120
train_00080,dfs,984,1,6938,2,39725.0,0,120
train_00080,nurs_covnew,984,1,6938,2,47417.0,0,120
train_00080,nurs_md2u,984,1,6938,2,41595.0,0,120
train_00080,nurs_qc,984,1,6938,2,41703.0,0,120
train_00080,random-path,984,1,6938,2,40064.0,0,120
train_00085,bfs,985,1,6932,2,34107.0,0,122
train_00085,default,985,1,6932,2,36122.0,0,122
train_00085,dfs,985,1,6932,2,35282.0,0,122
train_00085,nurs_covnew,985,1,6932,2,36007.0,0,122
train_00085,nurs_md2u,985,1,6932,2,37188.0,0,122
train_00085,nurs_qc,985,1,6932,2,36519.0,0,122
train_00085,random-path,985,1,6932,2,34566.0,0,122
train_00086,bfs,988,3,7020,13777,48095.0,0,118
train_00086,default,988,3,7020,11086,47705.0,0,118
train_00086,dfs,988,3,7020,13156,47760.0,0,118
train_00086,nurs_covnew,988,3,7020,11204,48246.0,0,118
train_00086,nurs_md2u,988,3,7020,11270,47386.0,0,118
train_00086,nurs_qc,988,3,7020,11979,47896.0,0,118
train_00086,random-path,988,3,7020,11462,45911.0,0,118
train_00088,bfs,1003,4,5647033,3032211,10037931.0,0,121
train_00088,default,1027,8,7045,17795768,18891301.0,0,121
train_00088,dfs,956,3,5734149,3077428,10037214.0,0,121
train_00088,nurs_covnew,1023,7,6999,17800033,18900000.0,0,121
train_00088,nurs_md2u,1023,7,6999,17642578,18738471.0,0,121
train_00088,nurs_qc,1023,7,6999,17597068,18693390.0,0,121
train_00088,random-path,1035,7,7106,17729987,18834845.0,0,121
train_00089,bfs,945,1,9938921,3,10036053.0,0,122
train_00089,default,945,1,9172646,3,10037596.0,0,122
train_00089,dfs,945,1,10030361,2,10035684.0,0,122
train_00089,nurs_covnew,945,1,9433088,3,10037565.0,0,122
train_00089,nurs_md2u,945,1,9214949,2,10037369.0,0,122
train_00089,nurs_qc,945,1,9546339,3,10037414.0,0,122
train_00089,random-path,945,1,9966952,3,10035527.0,0,122
train_00097,bfs,1051,32,7782,11262119,11330854.0,0,121
train_00097,default,1058,38,8349,14890344,14970952.0,0,121
train_00097,dfs,1000,632,38349,9192665,10119567.0,0,121
train_00097,nurs_covnew,1058,41,8421,10560275,10641373.0,0,121
train_00097,nurs_md2u,1058,41,8421,10543283,10624102.0,0,121
train_00097,nurs_qc,1058,23,7782,14376263,14437282.0,0,121
train_00097,random-path,1053,43,8541,10210246,10291945.0,0,121
train_00098,bfs,1034,4,6311017,2826503,10025364.0,0,127
train_00098,default,1034,331,2704844,5415328,10474953.0,0,127
train_00098,dfs,947,3,6674485,2986045,10024687.0,0,127
train_00098,nurs_covnew,1034,392,1630501,6859031,10673631.0,0,127
train_00098,nurs_md2u,1034,393,1646025,6899738,10674582.0,0,127
train_00098,nurs_qc,1034,331,1852179,6405184,10480787.0,0,127
train_00098,random-path,1034,19,6086443,2222871,10027714.0,0,127
train_00100,bfs,993,3,6951,19814,54463.0,0,121
train_00100,default,993,3,6951,21395,58193.0,0,121
train_00100,dfs,993,3,6951,18991,54330.0,0,121
train_00100,nurs_covnew,993,3,6951,19746,55937.0,0,121
train_00100,nurs_md2u,993,3,6951,20808,57890.0,0,121
train_00100,nurs_qc,993,3,6951,18808,55018.0,0,121
train_00100,random-path,993,3,6951,19173,53938.0,0,121
train_00102,bfs,1037,53,230023,9623366,10038691.0,0,121
train_00102,default,1037,111,46926,9736336,10116959.0,0,121
train_00102,dfs,1037,52,229877,9633035,10040420.0,0,121
train_00102,nurs_covnew,1037,113,32328,9770030,10110875.0,0,121
train_00102,nurs_md2u,1037,114,32702,9752016,10112858.0,0,121
train_00102,nurs_qc,1037,147,28283,9795500,10155814.0,0,121
train_00102,random-path,1037,54,153608,9582401,10060684.0,0,121
train_00183,bfs,949,1,6914,2,6835051.0,0,120
train_00183,default,949,1,6914,2,6828663.0,0,120
train_00183,dfs,949,1,6914,1,6766166.0,0,120
train_00183,nurs_covnew,949,1,6914,2,6793948.0,0,120
train_00183,nurs_md2u,949,1,6914,2,6794688.0,0,120
train_00183,nurs_qc,949,1,6914,1,6758110.0,0,120
train_00183,random-path,949,1,6914,2,6784339.0,0,120
train_00187,bfs,1025,1,22851,4,50564.0,0,124
train_00187,default,1025,1,22851,2,53218.0,0,124
train_00187,dfs,1025,1,22851,3,50808.0,0,124
train_00187,nurs_covnew,1025,1,22851,2,53104.0,0,124
train_00187,nurs_md2u,1025,1,22851,3,54093.0,0,124
train_00187,nurs_qc,1025,1,22851,3,52271.0,0,124
train_00187,random-path,1025,1,22851,3,50261.0,0,124
train_00191,bfs,946,1,6949252,2,10026285.0,0,116
train_00191,default,946,1,6611992,2,10027788.0,0,116
train_00191,dfs,946,1,6979698,2,10025573.0,0,116
train_00191,nurs_covnew,946,1,6560458,2,10026810.0,0,116
train_00191,nurs_md2u,946,1,6652671,2,10028231.0,0,116
train_00191,nurs_qc,946,1,6827212,2,10026689.0,0,116
train_00191,random-path,946,1,7098736,2,10026691.0,0,116
train_00206,bfs,954,4,6945,122338,4775290.0,0,119
train_00206,default,954,4,6945,113333,4780232.0,0,119
train_00206,dfs,954,4,6945,120506,4798049.0,0,119
train_00206,nurs_covnew,954,4,6945,131919,4820515.0,0,119
train_00206,nurs_md2u,954,4,6945,118784,4896607.0,0,119
train_00206,nurs_qc,954,4,6945,124598,4790350.0,0,119
train_00206,random-path,954,4,6945,125623,4808999.0,0,119
train_00286,bfs,967,1,8233,2,36867.0,0,115
train_00286,default,967,1,8233,1,38425.0,0,115
train_00286,dfs,967,1,8233,2,37046.0,0,115
train_00286,nurs_covnew,967,1,8233,1,38516.0,0,115
train_00286,nurs_md2u,967,1,8233,2,39192.0,0,115
train_00286,nurs_qc,967,1,8233,2,39425.0,0,115
train_00286,random-path,967,1,8233,2,37201.0,0,115
train_00290,bfs,977,1,6949,1,36529.0,0,116
train_00290,default,977,1,6949,2,39077.0,0,116
train_00290,dfs,977,1,6949,1,36226.0,0,116
train_00290,nurs_covnew,977,1,6949,3,38994.0,0,116
train_00290,nurs_md2u,977,1,6949,2,38392.0,0,116
train_00290,nurs_qc,977,1,6949,3,38579.0,0,116
train_00290,random-path,977,1,6949,2,36164.0,0,116
train_00291,bfs,993,599,37912,9151170,10112119.0,0,120
train_00291,default,993,576,36675,9172039,10176665.0,0,120
train_00291,dfs,993,609,38475,9236392,10121160.0,0,120
train_00291,nurs_covnew,993,609,38376,9236538,10195813.0,0,120
train_00291,nurs_md2u,993,616,38710,9236704,10173907.0,0,120
train_00291,nurs_qc,993,604,38215,9229618,10160156.0,0,120
train_00291,random-path,993,596,37739,9150777,10155493.0,0,120
train_00292,bfs,1024,58,9933,10995087,11134200.0,0,118
train_00292,default,1024,54,8226,10049157,10171747.0,0,118
train_00292,dfs,1000,19,9148,10001864,10064007.0,0,118
train_00292,nurs_covnew,1024,48,7844,10777041,10884387.0,0,118
train_00292,nurs_md2u,1024,48,7844,10974742,11097442.0,0,118
train_00292,nurs_qc,1024,47,7845,10802489,10923635.0,0,118
train_00292,random-path,1024,74,9254,10977959,11151840.0,0,118
train_00298,bfs,1012,1,6961,3,36162.0,0,122
train_00298,default,1012,1,6961,2,38909.0,0,122
train_00298,dfs,1012,1,6961,2,36576.0,0,122
train_00298,nurs_covnew,1012,1,6961,1,37984.0,0,122
train_00298,nurs_md2u,1012,1,6961,3,38168.0,0,122
train_00298,nurs_qc,1012,1,6961,3,37995.0,0,122
train_00298,random-path,1012,1,6961,3,36478.0,0,122
train_00390,bfs,958,1,6942,2,36501.0,0,115
train_00390,default,958,1,6942,2,37511.0,0,115
train_00390,dfs,958,1,6942,2,35752.0,0,115
