program,searcher,CovI,States,Queries,SolverTime_us,WallTime_s,CompletedPaths,NumBranches
test_00036,bfs,945,1,6878,12837,47223.0,0,128
test_00036,dfs,945,1,6878,13210,47663.0,0,128
test_00036,nurs_covnew,945,1,6878,12057,48066.0,0,128
test_00036,nurs_md2u,945,1,6878,11984,48125.0,0,128
test_00036,nurs_qc,945,1,6878,12134,48151.0,0,128
test_00036,random-path,945,1,6878,11281,45732.0,0,128
test_00044,bfs,1555,4,71482,192603,5056507.0,0,194
test_00044,dfs,1555,3,71476,175805,4951373.0,0,194
test_00044,nurs_covnew,1555,5,87716,1494331,10358213.0,0,194
test_00044,nurs_md2u,1555,5,87765,1172045,9095889.0,0,194
test_00044,nurs_qc,1555,5,76359,1164617,9012237.0,0,194
test_00044,random-path,1555,5,87459,1170034,9036096.0,0,194
test_00072,bfs,952,1,6884,0,35883.0,0,164
test_00072,dfs,952,1,6884,0,36050.0,0,164
test_00072,nurs_covnew,952,1,6884,0,37206.0,0,164
test_00072,nurs_md2u,952,1,6884,0,37219.0,0,164
test_00072,nurs_qc,952,1,6884,0,37709.0,0,164
test_00072,random-path,952,1,6884,0,35683.0,0,164
test_00078,bfs,943,1,6878,13894,51034.0,0,163
test_00078,dfs,943,1,6878,12600,50126.0,0,163
test_00078,nurs_covnew,943,1,6878,12857,51816.0,0,163
test_00078,nurs_md2u,943,1,6878,11721,50842.0,0,163
test_00078,nurs_qc,943,1,6878,13066,51618.0,0,163
test_00078,random-path,943,1,6878,12325,49683.0,0,163
train_00066,bfs,951,1,6886,15308,112793.0,0,188
train_00066,dfs,951,1,6886,15718,114274.0,0,188
train_00066,nurs_covnew,951,1,6886,18132,117303.0,0,188
train_00066,nurs_md2u,951,1,6886,15112,118021.0,0,188
train_00066,nurs_qc,951,1,6886,16965,115907.0,0,188
train_00066,random-path,951,1,6886,15402,113542.0,0,188
train_00077,bfs,940,1,6888,12199,48810.0,0,116
train_00077,dfs,940,1,6888,14076,49983.0,0,116
train_00077,nurs_covnew,940,1,6888,12377,49182.0,0,116
train_00077,nurs_md2u,940,1,6888,12262,49519.0,0,116
train_00077,nurs_qc,940,1,6888,14021,51727.0,0,116
train_00077,random-path,940,1,6888,12081,48924.0,0,116
train_00078,bfs,1354,5,21777,53548,121873.0,0,177
train_00078,dfs,1354,5,21777,54954,122425.0,0,177
train_00078,nurs_covnew,1354,5,21777,50626,122523.0,0,177
train_00078,nurs_md2u,1354,5,21777,51154,123475.0,0,177
train_00078,nurs_qc,1354,5,21777,54851,126546.0,0,177
train_00078,random-path,1354,5,21777,51542,120124.0,0,177
train_00161,bfs,952,1,6900,5981209,6132449.0,0,117
train_00161,dfs,952,1,6900,5980202,6131018.0,0,117
train_00161,nurs_covnew,952,1,6900,5976709,6128935.0,0,117
train_00161,nurs_md2u,952,1,6900,5982248,6132955.0,0,117
train_00161,nurs_qc,952,1,6900,5977286,6129058.0,0,117
train_00161,random-path,952,1,6900,5979801,6130721.0,0,117
train_00166,bfs,936,1,6886,14405,50263.0,0,126
train_00166,dfs,936,1,6886,16050,51319.0,0,126
train_00166,nurs_covnew,936,1,6886,11801,48743.0,0,126
train_00166,nurs_md2u,936,1,6886,14395,51363.0,0,126
train_00166,nurs_qc,936,1,6886,12524,49903.0,0,126
train_00166,random-path,936,1,6886,14829,50243.0,0,126
train_00227,bfs,970,1,6900,15305,55892.0,0,182
train_00227,dfs,970,1,6900,15491,56015.0,0,182
train_00227,nurs_covnew,970,1,6900,13524,56856.0,0,182
train_00227,nurs_md2u,970,1,6900,15062,57647.0,0,182
train_00227,nurs_qc,970,1,6900,16636,58865.0,0,182
train_00227,random-path,970,1,6900,14774,55006.0,0,182
train_00245,bfs,988,1,6802242,0,10432450.0,0,120
train_00245,dfs,988,1,6968946,0,10425317.0,0,120
train_00245,nurs_covnew,988,1,6595753,0,10429851.0,0,120
train_00245,nurs_md2u,988,1,6648568,0,10428484.0,0,120
train_00245,nurs_qc,988,1,6186632,0,10431539.0,0,120
train_00245,random-path,988,1,7000349,0,10431975.0,0,120
train_00246,bfs,968,1,6886,18451,219223.0,0,136
train_00246,dfs,968,1,6886,18249,223046.0,0,136
train_00246,nurs_covnew,968,1,6886,17849,222715.0,0,136
train_00246,nurs_md2u,968,1,6886,19884,223278.0,0,136
train_00246,nurs_qc,968,1,6886,17758,221768.0,0,136
train_00246,random-path,968,1,6886,21077,245579.0,0,136
train_00269,bfs,937,1,6886,12932,64329.0,0,123
train_00269,dfs,937,1,6886,12325,63517.0,0,123
train_00269,nurs_covnew,937,1,6886,13834,67291.0,0,123
train_00269,nurs_md2u,937,1,6886,14295,67648.0,0,123
train_00269,nurs_qc,937,1,6886,13979,66810.0,0,123
train_00269,random-path,937,1,6886,12589,67432.0,0,123
train_00389,bfs,956,242,8177,15401475,17254264.0,0,121
train_00389,dfs,987,87,838717,7773549,10365358.0,0,121
train_00389,nurs_covnew,963,184,8054,15256614,17091916.0,0,121
train_00389,nurs_md2u,963,187,8066,14979416,16802516.0,0,121
train_00389,nurs_qc,962,192,8095,15330082,17173016.0,0,121
