program,searcher,Instructions,CoveredInstr,UncoveredInstr,FullBranch,PartialBranch,TermExit,TermEarly,TermProgramError,NumStates,MallocUsage_B,Queries,WallTime_ms,SolverTime_ms
exp01_deep_vs_shallow,dfs,2088,122,2,9,1,57,0,0,57,1261928,1157,485772.0,474986
exp01_deep_vs_shallow,bfs,2088,122,2,9,1,57,0,0,57,1261928,1157,478033.0,467082
exp01_deep_vs_shallow,random-path,2088,122,2,9,1,57,0,0,57,1261928,1157,477056.0,466092
exp01_deep_vs_shallow,nurs:qc,2088,122,2,9,1,57,0,0,57,1262568,1157,472984.0,461271
exp01_deep_vs_shallow,nurs:covnew,2088,122,2,9,1,57,0,0,57,1262568,1157,453917.0,442282
exp01_deep_vs_shallow,nurs:md2u,2088,122,2,9,1,57,0,0,57,1262568,1157,483428.0,471512
exp01_deep_vs_shallow,default,2088,122,2,9,1,57,0,0,57,1262560,1157,459765.0,447620
exp02_needle_in_haystack,dfs,629,81,0,9,0,40,0,0,40,1063880,375,64782.0,60898
exp02_needle_in_haystack,bfs,629,81,0,9,0,40,0,0,40,1063880,375,66890.0,63060
exp02_needle_in_haystack,random-path,629,81,0,9,0,40,0,0,40,1063880,375,51972.0,48058
exp02_needle_in_haystack,nurs:qc,629,81,0,9,0,40,0,0,40,1064848,375,54579.0,50659
exp02_needle_in_haystack,nurs:covnew,629,81,0,9,0,40,0,0,40,1064848,375,53288.0,49409
exp02_needle_in_haystack,nurs:md2u,629,81,0,9,0,40,0,0,40,1064848,375,51998.0,48051
exp02_needle_in_haystack,default,629,81,0,9,0,40,0,0,40,1064840,375,51035.0,47095
exp03_symbolic_loop,dfs,1254,41,0,2,0,47,0,0,47,1175600,696,100897.0,94447
exp03_symbolic_loop,bfs,1254,41,0,2,0,47,0,0,47,1175600,696,99829.0,93520
exp03_symbolic_loop,random-path,1254,41,0,2,0,47,0,0,47,1175600,696,102135.0,95630
exp03_symbolic_loop,nurs:qc,1254,41,0,2,0,47,0,0,47,1176328,696,102816.0,96259
exp03_symbolic_loop,nurs:covnew,1254,41,0,2,0,47,0,0,47,1176328,696,102341.0,95636
exp03_symbolic_loop,nurs:md2u,1254,41,0,2,0,47,0,0,47,1176328,696,102018.0,95340
exp03_symbolic_loop,default,1254,41,0,2,0,47,0,0,47,1176320,696,102715.0,95966
exp04_diamond,dfs,152,57,0,5,0,16,0,0,16,1060536,99,81486.0,79156
exp04_diamond,bfs,152,57,0,5,0,16,0,0,16,1060536,99,80545.0,77999
exp04_diamond,random-path,152,57,0,5,0,16,0,0,16,1060536,99,80383.0,77992
exp04_diamond,nurs:qc,152,57,0,5,0,16,0,0,16,1061344,99,74153.0,71571
exp04_diamond,nurs:covnew,152,57,0,5,0,16,0,0,16,1061344,99,78488.0,75889
exp04_diamond,nurs:md2u,152,57,0,5,0,16,0,0,16,1061344,99,77327.0,74809
exp04_diamond,default,152,57,0,5,0,16,0,0,16,1061336,99,78070.0,75507
exp05_lopsided_tree,dfs,207,31,0,2,0,11,0,0,11,1013640,119,18633.0,16799
exp05_lopsided_tree,bfs,207,31,0,2,0,11,0,0,11,1013640,119,20982.0,18768
exp05_lopsided_tree,random-path,207,31,0,2,0,11,0,0,11,1013640,119,18918.0,16857
exp05_lopsided_tree,nurs:qc,207,31,0,2,0,11,0,0,11,1014280,119,20679.0,18487
exp05_lopsided_tree,nurs:covnew,207,31,0,2,0,11,0,0,11,1014280,119,19521.0,17375
exp05_lopsided_tree,nurs:md2u,207,31,0,2,0,11,0,0,11,1014280,119,19597.0,17379
exp05_lopsided_tree,default,207,31,0,2,0,11,0,0,11,1014272,119,20169.0,17953
exp06_state_merging_stress,dfs,513,81,0,9,0,22,0,0,22,1088168,263,679123.0,675586
exp06_state_merging_stress,bfs,513,81,0,9,0,22,0,0,22,1088232,263,675216.0,671688
exp06_state_merging_stress,random-path,513,81,0,9,0,22,0,0,22,1088232,263,674489.0,669246
exp06_state_merging_stress,nurs:qc,513,81,0,9,0,22,0,0,22,1088960,263,668596.0,661828
exp06_state_merging_stress,nurs:covnew,513,81,0,9,0,22,0,0,22,1088960,263,659038.0,655376
exp06_state_merging_stress,nurs:md2u,513,81,0,9,0,22,0,0,22,1088960,263,670849.0,666944
exp06_state_merging_stress,default,513,81,0,9,0,22,0,0,22,1088952,263,667467.0,663736
exp07_state_explosion,dfs,174969,107,3,5,2,3125,0,0,3125,1109752,82799,618002.0,336101
exp07_state_explosion,bfs,174969,107,3,5,2,3125,0,0,3125,1109752,82799,617471.0,334347
exp07_state_explosion,random-path,174969,107,3,5,2,3125,0,0,3125,1109752,82799,658969.0,339884
exp07_state_explosion,nurs:qc,174969,107,3,5,2,3125,0,0,3125,1111856,82799,699321.0,343642
exp07_state_explosion,nurs:covnew,174969,107,3,5,2,3125,0,0,3125,1111856,82799,710075.0,349756
exp07_state_explosion,nurs:md2u,174969,107,3,5,2,3125,0,0,3125,1111856,82799,695148.0,338729
exp07_state_explosion,default,174969,107,3,5,2,3125,0,0,3125,1111272,82799,708950.0,346762
exp08_staircase,dfs,257,112,0,16,0,9,0,0,9,1089480,159,16452.0,14340
exp08_staircase,bfs,257,112,0,16,0,9,0,0,9,1089480,159,17254.0,15213
exp08_staircase,random-path,257,112,0,16,0,9,0,0,9,1089480,159,15220.0,13200
exp08_staircase,nurs:qc,257,112,0,16,0,9,0,0,9,1090120,159,15849.0,13727
exp08_staircase,nurs:covnew,257,112,0,16,0,9,0,0,9,1090120,159,15690.0,13421
exp08_staircase,nurs:md2u,257,112,0,16,0,9,0,0,9,1090120,159,17616.0,15472
exp08_staircase,default,257,112,0,16,0,9,0,0,9,1090112,159,17875.0,15653
exp09_coverage_plateau,dfs,63,57,0,3,0,4,0,0,4,1054304,26,31163.0,29679
exp09_coverage_plateau,bfs,63,57,0,3,0,4,0,0,4,1054304,26,34442.0,32870
exp09_coverage_plateau,random-path,63,57,0,3,0,4,0,0,4,1054304,26,32132.0,30552
exp09_coverage_plateau,nurs:qc,63,57,0,3,0,4,0,0,4,1055160,26,31387.0,29793
exp09_coverage_plateau,nurs:covnew,63,57,0,3,0,4,0,0,4,1055160,26,31762.0,30159
exp09_coverage_plateau,nurs:md2u,63,57,0,3,0,4,0,0,4,1055160,26,32129.0,30537
exp09_coverage_plateau,default,63,57,0,3,0,4,0,0,4,1055152,26,31537.0,29957
exp10_hot_vs_cold,dfs,1337,128,0,12,0,84,0,0,84,1156456,747,158175.0,148546
exp10_hot_vs_cold,bfs,1337,128,0,12,0,84,0,0,84,1156456,747,155528.0,146163
exp10_hot_vs_cold,random-path,1337,128,0,12,0,84,0,0,84,1156456,747,157156.0,147962
exp10_hot_vs_cold,nurs:qc,1337,128,0,12,0,84,0,0,84,1157440,747,162852.0,152350
exp10_hot_vs_cold,nurs:covnew,1337,128,0,12,0,84,0,0,84,1157440,747,162265.0,152078
exp10_hot_vs_cold,nurs:md2u,1337,128,0,12,0,84,0,0,84,1157440,747,160994.0,150806
exp10_hot_vs_cold,default,1337,128,0,12,0,84,0,0,84,1157432,747,159710.0,149400
exp11_wide_then_deep,dfs,1350569,122,2,10,1,49159,11,0,49170,1172712,750696,10005527.0,5044861
exp11_wide_then_deep,bfs,2065995,116,8,9,1,7,157624,0,157631,3265208,1067994,45999514.0,12717254
exp11_wide_then_deep,random-path,2014305,116,8,9,1,7,117198,0,117205,2233816,1034433,36933503.0,9975214
exp11_wide_then_deep,nurs:qc,1719710,116,8,9,1,7,104938,0,104945,2242736,868017,34214421.0,9274134
exp11_wide_then_deep,nurs:covnew,1705432,116,8,9,1,7,104055,0,104062,2242736,860754,33974326.0,9187594
exp11_wide_then_deep,nurs:md2u,1720617,116,8,9,1,7,104983,0,104990,2242736,868451,34457663.0,9238437
exp11_wide_then_deep,default,1832044,116,8,9,1,7,100544,0,100551,2233584,936148,32782295.0,8515432
exp12_trapdoor,dfs,1314415,95,4,7,1,48272,18,0,48290,1179712,730397,10004443.0,5004807
exp12_trapdoor,bfs,1865735,91,8,6,1,1,162895,0,162896,3273480,949781,46352787.0,12478978
exp12_trapdoor,random-path,1821916,91,8,6,1,1,122214,0,122215,2258728,921573,37661095.0,9944211
exp12_trapdoor,nurs:qc,1614866,91,8,6,1,1,103793,0,103794,2281752,806723,33373140.0,8853898
exp12_trapdoor,nurs:covnew,1606538,91,8,6,1,1,103210,0,103211,2281752,802578,33119192.0,8808908
exp12_trapdoor,nurs:md2u,1610929,91,8,6,1,1,103522,0,103523,2281752,804804,33193649.0,8795407
exp12_trapdoor,default,1638557,91,8,6,1,1,104040,0,104041,2259536,822636,33002350.0,8529739
exp13_asymmetric,dfs,1343910,153,0,16,0,54923,13,0,54936,1201504,728717,10003832.0,4934161
exp13_asymmetric,bfs,2060777,150,3,15,1,6,157129,0,157135,3297960,1065354,46358401.0,12708644
exp13_asymmetric,random-path,2002782,150,3,15,1,6,116407,0,116413,2264584,1028655,37007600.0,9934241
exp13_asymmetric,nurs:qc,1725857,153,0,16,0,641,104527,0,105168,2270704,872077,34619627.0,9262228
exp13_asymmetric,nurs:covnew,1743037,153,0,16,0,671,105594,0,106265,2270704,880917,34540065.0,9331493
exp13_asymmetric,nurs:md2u,1733766,153,0,16,0,657,105017,0,105674,2270704,876169,34317551.0,9279596
exp13_asymmetric,default,1815791,150,3,15,1,6,99504,0,99510,2268128,928347,32788602.0,8522365
exp14_coverage_oasis,dfs,1417899,191,0,12,0,65888,10,0,65898,1217584,595130,10003009.0,4473074
exp14_coverage_oasis,bfs,1984386,191,0,12,0,13156,138726,0,151882,3317544,918072,38189184.0,10328236
exp14_coverage_oasis,random-path,1776588,191,0,12,0,1187,125025,0,126212,2273864,822153,36357367.0,9123976
exp14_coverage_oasis,nurs:qc,1465723,191,0,12,0,13901,80426,0,94327,2274536,664735,26297896.0,6949146
exp14_coverage_oasis,nurs:covnew,1462325,191,0,12,0,13827,80322,0,94149,2274536,663283,26467109.0,6962157
exp14_coverage_oasis,nurs:md2u,1462362,191,0,12,0,13828,80324,0,94152,2274536,663303,26448966.0,6932398
exp14_coverage_oasis,default,1585482,191,0,12,0,483,110882,0,111365,2275328,732156,33516785.0,8083318
exp15_distance,dfs,1502728,103,4,7,1,54708,11,0,54719,1160928,835249,10003488.0,4883764
exp15_distance,bfs,2057055,97,10,6,1,2,156769,0,156771,3256808,1063481,45939152.0,12669786
exp15_distance,random-path,1987890,97,10,6,1,2,115275,0,115277,2225208,1021069,36444968.0,9853974
exp15_distance,nurs:qc,1762299,103,4,7,1,132,106403,0,106535,2231776,890386,34729152.0,9362111
exp15_distance,nurs:covnew,1757894,103,4,7,1,130,106174,0,106304,2231776,888271,34494004.0,9365089
exp15_distance,nurs:md2u,1766536,103,4,7,1,135,106650,0,106785,2231776,892470,35132756.0,9410643
exp15_distance,default,1813110,97,10,6,1,2,99295,0,99297,2222576,926699,32707196.0,8465501
