program,searcher,Instructions,CoveredInstr,UncoveredInstr,FullBranch,PartialBranch,TermExit,TermEarly,TermProgramError,NumStates,MallocUsage_B,Queries,WallTime_ms,SolverTime_ms
exp49_goto_spaghetti,dfs,2781163,121,2,1,1,95428,25,0,95453,1171816,1649653,10016610.0,3104334
exp49_goto_spaghetti,bfs,2220671,121,2,1,1,45386,216758,0,262144,3268712,1713488,53271360.0,8644491
exp49_goto_spaghetti,random-path,2153204,121,2,1,1,49005,73874,0,122879,2220136,1357404,19723118.0,4164158
exp49_goto_spaghetti,nurs:qc,2294254,121,2,1,1,9406,142530,0,151936,3271720,1429164,29096847.0,5089254
exp49_goto_spaghetti,nurs:covnew,2311722,121,2,1,1,9607,143260,0,152867,3271720,1439868,29359117.0,5109072
exp49_goto_spaghetti,nurs:md2u,2306988,121,2,1,1,9559,143063,0,152622,3271720,1436960,29988110.0,5104197
exp49_goto_spaghetti,default,1924135,121,2,1,1,29215,85208,0,114423,2223136,1196242,21195986.0,3873891
exp50_symbolic_struct,dfs,448,191,0,13,0,17,0,0,17,1217024,190,98844.0,95712
exp50_symbolic_struct,bfs,448,191,0,13,0,17,0,0,17,1217024,190,93552.0,90324
exp50_symbolic_struct,random-path,448,191,0,13,0,17,0,0,17,1217024,190,93811.0,90699
exp50_symbolic_struct,nurs:qc,448,191,0,13,0,17,0,0,17,1219672,190,91933.0,88699
exp50_symbolic_struct,nurs:covnew,448,191,0,13,0,17,0,0,17,1219672,190,95479.0,92179
exp50_symbolic_struct,nurs:md2u,448,191,0,13,0,17,0,0,17,1219672,190,112988.0,109486
exp50_symbolic_struct,default,448,191,0,13,0,17,0,0,17,1219664,190,99895.0,96261
exp51_coroutine_ping_pong,dfs,29301,328,16,13,1,690,7,0,697,3320448,12935,10067979.0,9712136
exp51_coroutine_ping_pong,bfs,26786,344,0,14,0,335,422,0,757,3273568,11780,10746904.0,10253400
exp51_coroutine_ping_pong,random-path,30409,344,0,14,0,404,358,0,762,3259848,13109,10215374.0,9760318
exp51_coroutine_ping_pong,nurs:qc,30916,344,0,14,0,122,683,0,805,3244312,13274,10660666.0,9866129
exp51_coroutine_ping_pong,nurs:covnew,33290,344,0,14,0,179,660,0,839,3474048,14389,10883663.0,10162323
exp51_coroutine_ping_pong,nurs:md2u,30643,344,0,14,0,117,682,0,799,3222568,13148,10738681.0,9849637
exp51_coroutine_ping_pong,default,34392,344,0,14,0,395,448,0,843,3500536,14868,10366982.0,9940486
exp52_array_oob_hunt,dfs,30267,169,8,12,1,1152,0,656,1808,1438312,20873,2010629.0,1856446
exp52_array_oob_hunt,bfs,30267,169,8,12,1,1152,0,656,1808,1441816,20873,2144804.0,1978879
exp52_array_oob_hunt,random-path,30267,169,8,12,1,1152,0,656,1808,1447968,20873,2127526.0,1943647
exp52_array_oob_hunt,nurs:qc,30267,169,8,12,1,1152,0,656,1808,1446600,20873,2165612.0,1974256
exp52_array_oob_hunt,nurs:covnew,30267,169,8,12,1,1152,0,656,1808,1438768,20873,2142459.0,1944553
exp52_array_oob_hunt,nurs:md2u,30267,169,8,12,1,1152,0,656,1808,1446168,20873,2214482.0,2021050
exp52_array_oob_hunt,default,30267,169,8,12,1,1152,0,656,1808,1448216,20873,2178412.0,1976847
exp53_recursive_descent,dfs,1423120,131,2,8,1,11747,0,0,11747,1777192,666820,4729886.0,2842006
exp53_recursive_descent,bfs,1423120,131,2,8,1,11747,0,0,11747,1780632,666820,5398978.0,3197276
exp53_recursive_descent,random-path,1423120,131,2,8,1,11747,0,0,11747,1781272,666820,7288423.0,3452644
exp53_recursive_descent,nurs:qc,1188240,131,2,8,1,6783,4957,0,11740,1765280,553035,11058160.0,4437885
exp53_recursive_descent,nurs:covnew,1177482,131,2,8,1,6629,5107,0,11736,1760544,547931,11023856.0,4426049
exp53_recursive_descent,nurs:md2u,1200580,131,2,8,1,6950,4794,0,11744,1769432,558972,10974600.0,4435259
exp53_recursive_descent,default,1423120,131,2,8,1,11747,0,0,11747,1783960,666820,8729072.0,3576085
exp54_diamond_lattice,dfs,27986,202,0,12,0,1296,0,0,1296,1221600,13476,213566.0,133124
exp54_diamond_lattice,bfs,27986,202,0,12,0,1296,0,0,1296,1221600,13476,210861.0,128607
exp54_diamond_lattice,random-path,27986,202,0,12,0,1296,0,0,1296,1221600,13476,220384.0,128891
exp54_diamond_lattice,nurs:qc,27986,202,0,12,0,1296,0,0,1296,1225672,13476,232013.0,135046
exp54_diamond_lattice,nurs:covnew,27986,202,0,12,0,1296,0,0,1296,1225672,13476,235726.0,132296
exp54_diamond_lattice,nurs:md2u,27986,202,0,12,0,1296,0,0,1296,1225672,13476,225455.0,128597
exp54_diamond_lattice,default,27986,202,0,12,0,1296,0,0,1296,1225696,13476,230456.0,130911
